Case_ID,Load_Position_X_m,Applied_Node_ID,Load_Magnitude_N,Max_Deformation_m
570,0.57,421,10000.0,9.735869307294793e-07
571,0.58,421,100.0,9.735869307294328e-09
572,0.58,421,1200.0,1.168304316874487e-07
573,0.58,421,2300.0,2.239249940677758e-07
574,0.58,421,3400.0,3.3101955644801064e-07
575,0.58,421,4500.0,4.3811411882933584e-07
576,0.58,421,5600.0,5.45208681208498e-07
577,0.58,421,6700.0,6.523032435886507e-07
578,0.58,421,7800.0,7.593978059678661e-07
579,0.58,421,8900.0,8.664923683489982e-07
580,0.58,421,10000.0,9.735869307247365e-07
581,0.59,421,100.0,9.735869307280476e-09
582,0.59,421,1200.0,1.168304316875229e-07
583,0.59,421,2300.0,2.2392499406791584e-07
584,0.59,421,3400.0,3.3101955644797406e-07
585,0.59,421,4500.0,4.381141188287418e-07
586,0.59,421,5600.0,5.452086812084825e-07
587,0.59,421,6700.0,6.523032435886862e-07
588,0.59,421,7800.0,7.593978059689458e-07
589,0.59,421,8900.0,8.664923683492331e-07
590,0.59,421,10000.0,9.735869307294604e-07
591,0.6,421,100.0,9.735869307253835e-09
592,0.6,421,1200.0,1.1683043168750658e-07
593,0.6,421,2300.0,2.2392499406790477e-07
594,0.6,421,3400.0,3.3101955644842923e-07
595,0.6,421,4500.0,4.381141188277421e-07
596,0.6,421,5600.0,5.45208681208498e-07
597,0.6,421,6700.0,6.523032435865104e-07
598,0.6,421,7800.0,7.593978059664184e-07
599,0.6,421,8900.0,8.664923683477213e-07
600,0.6,421,10000.0,9.735869307298712e-07
601,0.61,421,100.0,9.735869307293574e-09
602,0.61,421,1200.0,1.1683043168753553e-07
603,0.61,421,2300.0,2.2392499406782372e-07
604,0.61,421,3400.0,3.3101955644625765e-07
605,0.61,421,4500.0,4.3811411882829584e-07
606,0.61,421,5600.0,5.452086812075035e-07
607,0.61,421,6700.0,6.523032435876361e-07
608,0.61,421,7800.0,7.593978059653807e-07
609,0.61,421,8900.0,8.664923683491027e-07
610,0.61,421,10000.0,9.73586930728592e-07
611,0.62,421,100.0,9.735869307260603e-09
612,0.62,421,1200.0,1.1683043168756442e-07
613,0.62,421,2300.0,2.239249940677892e-07
614,0.62,421,3400.0,3.310195564483818e-07
615,0.62,421,4500.0,4.381141188282574e-07
616,0.62,421,5600.0,5.452086812091877e-07
617,0.62,421,6700.0,6.52303243588739e-07
618,0.62,421,7800.0,7.593978059689195e-07
619,0.62,421,8900.0,8.664923683470746e-07
620,0.62,421,10000.0,9.735869307294604e-07
621,0.63,421,100.0,9.735869307288806e-09
622,0.63,421,1200.0,1.1683043168674756e-07
623,0.63,421,2300.0,2.239249940677758e-07
624,0.63,421,3400.0,3.310195564490258e-07
625,0.63,421,4500.0,4.3811411882741906e-07
626,0.63,421,5600.0,5.452086812084653e-07
627,0.63,421,6700.0,6.523032435883506e-07
628,0.63,421,7800.0,7.593978059669537e-07
629,0.63,421,8900.0,8.664923683426731e-07
630,0.63,421,10000.0,9.735869307294172e-07
631,0.64,421,100.0,9.735869307283064e-09
632,0.64,421,1200.0,1.1683043168768127e-07
633,0.64,421,2300.0,2.2392499406788037e-07
634,0.64,421,3400.0,3.3101955644798264e-07
635,0.64,421,4500.0,4.381141188282574e-07
636,0.64,421,5600.0,5.452086812086924e-07
637,0.64,421,6700.0,6.523032435867291e-07
638,0.64,421,7800.0,7.593978059689648e-07
639,0.64,421,8900.0,8.664923683509646e-07
640,0.64,421,10000.0,9.735869307305463e-07
641,0.65,421,100.0,9.735869307250051e-09
642,0.65,421,1200.0,1.168304316873916e-07
